belief_self,certainty_self,topic,gender_other,nationality_other,code,belief,certainty,gender,nationality,belief_other,certainty_other,misspecification,round_number
0,75,US Geography,Female,US National,0kxsrg73,1,50,Female,non-US National,1,50,correct,1
2,75,Math,Female,US National,0kxsrg73,2,75,Female,non-US National,2,75,over,1
1,75,Pop-Culture and Art,Female,US National,0kxsrg73,1,75,Female,non-US National,1,75,correct,1
0,75,Verbal,Female,US National,0kxsrg73,1,75,Female,non-US National,1,75,over,1
1,50,Science and Technology,Female,US National,0kxsrg73,1,50,Female,non-US National,1,50,correct,1
0,75,Sports and Video Games,Female,US National,0kxsrg73,1,50,Female,non-US National,1,50,correct,1
0,33,US Geography,Female,non-US National,1zb27tea,0,33,Female,US National,0,33,under,1
0,50,Math,Female,non-US National,1zb27tea,0,33,Female,US National,0,33,under,1
0,33,Pop-Culture and Art,Female,non-US National,1zb27tea,0,33,Female,US National,0,33,correct,1
0,33,Verbal,Female,non-US National,1zb27tea,0,33,Female,US National,0,33,correct,1
0,33,Science and Technology,Female,non-US National,1zb27tea,0,33,Female,US National,0,33,under,1
0,33,Sports and Video Games,Female,non-US National,1zb27tea,0,33,Female,US National,0,33,under,1
0,33,US Geography,Female,non-US National,36b7nxpg,1,75,Female,non-US National,1,75,correct,1
0,50,Math,Female,non-US National,36b7nxpg,0,50,Female,non-US National,0,50,under,1
0,33,Pop-Culture and Art,Female,non-US National,36b7nxpg,0,50,Female,non-US National,0,50,correct,1
0,33,Verbal,Female,non-US National,36b7nxpg,1,75,Female,non-US National,1,75,over,1
0,50,Science and Technology,Female,non-US National,36b7nxpg,0,50,Female,non-US National,0,50,under,1
0,33,Sports and Video Games,Female,non-US National,36b7nxpg,0,50,Female,non-US National,0,50,under,1
1,75,US Geography,Female,US National,3cv0gsso,1,75,Male,non-US National,1,75,correct,1
1,75,Math,Female,US National,3cv0gsso,1,75,Male,non-US National,1,75,correct,1
0,75,Pop-Culture and Art,Female,US National,3cv0gsso,1,50,Male,non-US National,1,50,correct,1
0,50,Verbal,Female,US National,3cv0gsso,1,75,Male,non-US National,1,75,correct,1
1,33,Science and Technology,Female,US National,3cv0gsso,1,33,Male,non-US National,1,33,correct,1
0,75,Sports and Video Games,Female,US National,3cv0gsso,0,50,Male,non-US National,0,50,under,1
1,50,US Geography,Female,non-US National,4d7lvql9,1,33,Female,non-US National,1,33,over,1
1,50,Math,Female,non-US National,4d7lvql9,1,33,Female,non-US National,1,33,correct,1
0,50,Pop-Culture and Art,Female,non-US National,4d7lvql9,1,33,Female,non-US National,1,33,over,1
0,75,Verbal,Female,non-US National,4d7lvql9,0,50,Female,non-US National,0,50,correct,1
1,33,Science and Technology,Female,non-US National,4d7lvql9,0,33,Female,non-US National,0,33,under,1
0,75,Sports and Video Games,Female,non-US National,4d7lvql9,0,50,Female,non-US National,0,50,correct,1
0,0,US Geography,Female,non-US National,4kecnisx,0,0,Female,US National,0,0,under,1
0,0,Math,Female,non-US National,4kecnisx,0,0,Female,US National,0,0,under,1
0,0,Pop-Culture and Art,Female,non-US National,4kecnisx,0,0,Female,US National,0,0,correct,1
0,0,Verbal,Female,non-US National,4kecnisx,0,0,Female,US National,0,0,correct,1
0,0,Science and Technology,Female,non-US National,4kecnisx,0,0,Female,US National,0,0,under,1
0,0,Sports and Video Games,Female,non-US National,4kecnisx,0,0,Female,US National,0,0,under,1
0,33,US Geography,Male,US National,56op1uib,1,50,Male,non-US National,1,50,correct,1
2,75,Math,Male,US National,56op1uib,2,75,Male,non-US National,2,75,over,1
0,33,Pop-Culture and Art,Male,US National,56op1uib,0,33,Male,non-US National,0,33,under,1
1,75,Verbal,Male,US National,56op1uib,1,75,Male,non-US National,1,75,over,1
1,50,Science and Technology,Male,US National,56op1uib,1,50,Male,non-US National,1,50,correct,1
1,50,Sports and Video Games,Male,US National,56op1uib,1,75,Male,non-US National,1,75,correct,1
1,100,US Geography,Male,non-US National,6sybrxjn,0,100,Male,non-US National,0,100,under,1
1,50,Math,Male,non-US National,6sybrxjn,1,75,Male,non-US National,1,75,correct,1
1,75,Pop-Culture and Art,Male,non-US National,6sybrxjn,1,75,Male,non-US National,1,75,correct,1
2,75,Verbal,Male,non-US National,6sybrxjn,1,75,Male,non-US National,1,75,over,1
2,75,Science and Technology,Male,non-US National,6sybrxjn,1,75,Male,non-US National,1,75,correct,1
1,100,Sports and Video Games,Male,non-US National,6sybrxjn,1,33,Male,non-US National,1,33,correct,1
1,50,US Geography,Male,non-US National,6zd6yym2,1,75,Female,non-US National,1,75,correct,1
1,75,Math,Male,non-US National,6zd6yym2,1,50,Female,non-US National,1,50,correct,1
0,75,Pop-Culture and Art,Male,non-US National,6zd6yym2,0,75,Female,non-US National,0,75,under,1
1,75,Verbal,Male,non-US National,6zd6yym2,0,75,Female,non-US National,0,75,correct,1
1,33,Science and Technology,Male,non-US National,6zd6yym2,1,33,Female,non-US National,1,33,correct,1
0,75,Sports and Video Games,Male,non-US National,6zd6yym2,1,75,Female,non-US National,1,75,over,1
0,75,US Geography,Male,non-US National,78sdphga,0,50,Female,non-US National,0,50,under,1
1,100,Math,Male,non-US National,78sdphga,1,50,Female,non-US National,1,50,correct,1
1,50,Pop-Culture and Art,Male,non-US National,78sdphga,1,50,Female,non-US National,1,50,correct,1
1,50,Verbal,Male,non-US National,78sdphga,1,50,Female,non-US National,1,50,over,1
1,50,Science and Technology,Male,non-US National,78sdphga,1,50,Female,non-US National,1,50,correct,1
