index,code,round_number,effort,fails,last_button,score,topic,signal,belief,certainty,theta,omega,treatment,overconfident,underconfident,correct,misspecification,gender,nationality,misspecification_num,round_misspecification,topic_num,player_code,effort_change,effort_change_indicator,effort_change_sum,last_button_consistent,last_button_correct,treatment_indic,interaction,current_belief_start,belief_change,change_indicator,change_indicator_sum,effort_next,gender_nationality,lr,log_lr,switcher,dogmatic,bayesian,self-serving,switcher_belief,signals_ss,signals_switcher,signals_dogmatic,signals_bay,distance_bayes,distance_switcher,distance_dogmatic,distance_bayesian,distance_self-serving,distance_switcher_2,distance_dogmatic_2,distance_bayesian_2,distance_self-serving_2,distance_switcher_2sum,distance_dogmatic_2sum,distance_bayesian_2sum,distance_self-serving_2sum,best_model,distance_switcher_abs,distance_dogmatic_abs,distance_bayesian_abs,distance_self-serving_abs,distance_switcher_sum,distance_dogmatic_sum,distance_bayesian_sum,distance_self-serving_sum,best_model_abs,correct_e,signal_prev,effort_prev,signal_avg,news_diff,misspecification_over,misspecification_under,misspecification_correct,misspecification_over_news_diff,misspecification_under_news_diff,misspecification_correct_news_diff,news,confirming_news,signal_range,signals_switcher_avg,signals_dogmatic_avg,signals_bay_avg,signals_ss_avg,effort_change_switcher,effort_change_dogmatic,effort_change_bay,effort_change_ss,signal_switcher_diff,signal_dogmatic_diff,signal_bay_diff,signal_ss_diff,news_switcher,news_dogmatic,news_bay,news_ss,signal_type,learned,learned_all,trap,learned_num,trap_choice
0,0m2xzxgv,1,1,9,2,9,Science and Technology,1,0,75,1,0,ego,0,1,0,under,Male,non-US National,-1,1,2,0m2xzxgv2,,0,7,0,0,0,0,2,2.0,1,6,1.0,Male non-US National,,,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,102,55,83,74,Dogmatic,1,1,0,0,70,47,57,52,1,0.0,,,1.0,,0,1,0,,,,Bad News,,less than 5,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,No News,No News,No News,No News,negative,0,0,1,0,1
1,0m2xzxgv,2,1,7,1,9,Science and Technology,3,0,75,1,0,ego,0,1,0,under,Male,non-US National,-1,0,2,0m2xzxgv2,0.0,0,7,0,1,0,0,1,-1.0,1,6,2.0,Male non-US National,0.9940596754650509,-0.005958038448506603,2,1,1,1,2,2,4,4,2,0,-1,0,0,0,1,0,0,0,102,55,83,74,Dogmatic,1,0,0,0,70,47,57,52,1,0.0,1.0,1.0,2.0,-1.0,0,1,0,-0.0,-1.0,-0.0,Bad News,confirming,less than 5,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,Good News,Good News,Good News,Good News,negative,0,0,1,0,1
2,0m2xzxgv,3,2,10,2,9,Science and Technology,0,0,75,1,0,ego,0,1,0,under,Male,non-US National,-1,1,2,0m2xzxgv2,1.0,1,7,0,0,0,0,2,1.0,1,6,0.0,Male non-US National,0.09416091895188827,-2.3627500566056887,0,2,0,0,0,2,1,5,2,2,2,0,2,2,4,0,4,4,102,55,83,74,Dogmatic,2,0,2,2,70,47,57,52,1,0.0,3.0,1.0,1.3333333333333333,1.6666666666666667,0,1,0,0.0,1.6666666666666667,0.0,Good News,disconfirming,less than 5,1.6666666666666667,3.0,1.3333333333333333,1.3333333333333333,-2.0,1.0,-1.0,-1.0,-0.6666666666666667,2.0,0.6666666666666667,0.6666666666666667,Bad News,Good News,Good News,Good News,negative,0,0,1,0,0
3,0m2xzxgv,4,0,7,0,9,Science and Technology,3,0,75,1,0,ego,0,1,0,under,Male,non-US National,-1,-1,2,0m2xzxgv2,-2.0,1,7,1,0,0,0,0,-2.0,1,6,0.0,Male non-US National,1.6437975332201398,0.4970091340742074,0,1,0,0,0,4,4,0,4,0,0,-1,0,0,0,1,0,0,102,55,83,74,Dogmatic,0,1,0,0,70,47,57,52,1,1.0,0.0,2.0,1.75,-1.75,0,1,0,-0.0,-1.75,-0.0,Bad News,confirming,less than 5,2.25,2.25,2.0,2.0,0.0,-1.0,0.0,0.0,1.75,-2.25,2.0,2.0,Good News,Bad News,Good News,Good News,negative,0,0,1,0,0
4,0m2xzxgv,5,0,8,1,9,Science and Technology,2,0,75,1,0,ego,0,1,0,under,Male,non-US National,-1,0,2,0m2xzxgv2,0.0,0,7,0,1,0,0,1,1.0,1,6,2.0,Male non-US National,0.38651308272834556,-0.9505895622950733,0,1,0,0,0,4,5,4,4,0,0,-1,0,0,0,1,0,0,102,55,83,74,Dogmatic,0,1,0,0,70,47,57,52,1,1.0,3.0,0.0,1.8,1.2,0,1,0,0.0,1.2,0.0,Good News,disconfirming,less than 5,2.8,2.6,2.4,2.4,0.0,0.0,0.0,0.0,2.2,1.4,1.6,1.6,Good News,Good News,Good News,Good News,negative,0,0,1,0,0
5,0m2xzxgv,6,2,10,1,9,Science and Technology,0,0,75,1,0,ego,0,1,0,under,Male,non-US National,-1,0,2,0m2xzxgv2,2.0,1,7,0,1,0,0,1,0.0,0,6,2.0,Male non-US National,1.0,0.0,0,1,0,0,0,4,4,3,4,2,2,1,2,2,4,1,4,4,102,55,83,74,Dogmatic,2,1,2,2,70,47,57,52,1,0.0,2.0,0.0,1.5,0.5,0,1,0,0.0,0.5,0.0,Good News,disconfirming,less than 5,3.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0,0.0,1.0,0.3333333333333335,1.3333333333333335,1.3333333333333335,Good News,Good News,Good News,Good News,negative,0,0,1,0,0
6,0m2xzxgv,7,2,10,2,9,Science and Technology,0,0,75,1,0,ego,0,1,0,under,Male,non-US National,-1,1,2,0m2xzxgv2,0.0,0,7,0,0,0,0,2,1.0,1,6,0.0,Male non-US National,0.09416091895188827,-2.3627500566056887,0,1,0,0,0,4,3,1,4,2,2,1,2,2,4,1,4,4,102,55,83,74,Dogmatic,2,1,2,2,70,47,57,52,1,0.0,0.0,2.0,1.2857142857142858,-1.2857142857142858,0,1,0,-0.0,-1.2857142857142858,-0.0,Bad News,confirming,less than 5,3.0,2.4285714285714284,2.857142857142857,2.857142857142857,0.0,0.0,0.0,0.0,0.0,-1.4285714285714284,1.1428571428571428,1.1428571428571428,No News,Bad News,Good News,Good News,negative,0,0,1,0,0
7,0m2xzxgv,8,0,5,2,9,Science and Technology,5,0,75,1,0,ego,0,1,0,under,Male,non-US National,-1,1,2,0m2xzxgv2,-2.0,1,7,0,0,0,0,2,0.0,0,6,1.0,Male non-US National,1.0,0.0,0,1,0,0,0,4,6,2,4,0,0,-1,0,0,0,1,0,0,102,55,83,74,Dogmatic,0,1,0,0,70,47,57,52,1,1.0,0.0,2.0,1.75,-1.75,0,1,0,-0.0,-1.75,-0.0,Bad News,confirming,5,3.375,2.375,3.0,3.0,0.0,0.0,0.0,0.0,2.625,-0.375,1.0,1.0,Good News,Bad News,Good News,Good News,negative,0,0,1,0,0
8,0m2xzxgv,9,1,5,2,9,Science and Technology,5,0,75,1,0,ego,0,1,0,under,Male,non-US National,-1,1,2,0m2xzxgv2,1.0,1,7,0,0,0,0,2,0.0,0,6,2.0,Male non-US National,1.0,0.0,0,1,0,0,0,4,3,2,4,1,1,0,1,1,1,0,1,1,102,55,83,74,Dogmatic,1,0,1,1,70,47,57,52,1,0.0,5.0,0.0,2.111111111111111,2.888888888888889,0,1,0,0.0,2.888888888888889,0.0,Good News,disconfirming,5,3.3333333333333335,2.3333333333333335,3.111111111111111,3.111111111111111,0.0,0.0,0.0,0.0,-0.3333333333333335,-0.3333333333333335,0.8888888888888888,0.8888888888888888,Bad News,Bad News,Good News,Good News,neutral,0,0,1,0,1
9,0m2xzxgv,10,2,10,2,9,Science and Technology,0,0,75,1,0,ego,0,1,0,under,Male,non-US National,-1,1,2,0m2xzxgv2,1.0,1,7,0,0,0,0,2,0.0,0,6,0.0,Male non-US National,1.0,0.0,0,1,0,0,0,4,3,6,4,2,2,1,2,2,4,1,4,4,102,55,83,74,Dogmatic,2,1,2,2,70,47,57,52,1,0.0,5.0,1.0,1.9,3.1,0,1,0,0.0,3.1,0.0,Good News,disconfirming,less than 5,3.3,2.7,3.2,3.2,0.0,0.0,0.0,0.0,-0.2999999999999998,3.3,0.7999999999999998,0.7999999999999998,Bad News,Good News,Good News,Good News,neutral,0,0,1,0,0
